434758	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Int64}}"
378288	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{UInt64}}"
362617	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Float32}}"
387544	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Float64}}"
379711	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Base.Complex{Float32}}}"
362414	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Base.Complex{Float64}}}"
355585	"Tuple{typeof(Base.setindex!), Base.Dict{DataType, Int32}, Int32, Type{Char}}"
293885	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
421819	"Tuple{typeof(Blosc.check_deps)}"
285895	"Tuple{typeof(Blosc.__init__)}"
2316378	"Tuple{typeof(HDF5.blosc_set_local), Int64, Int64, Int64}"
713740	"Tuple{typeof(HDF5.blosc_filter), UInt32, UInt64, Ptr{UInt32}, UInt64, Ptr{UInt64}, Ptr{Ptr{Nothing}}}"
1674301	"Tuple{typeof(Base.rehash!), Base.Dict{Tuple{Int64, Any, UInt64}, DataType}, Int64}"
1202606	"Tuple{typeof(Base.rehash!), Base.Dict{String, Tuple{Any, Any, Int64}}, Int64}"
1235169	"Tuple{typeof(Base.rehash!), Base.Dict{Int64, Tuple{Function, Int64, Vararg{Int64, N} where N}}, Int64}"
98034	"Tuple{typeof(HDF5.__init__)}"
584123	"Tuple{typeof(Base.hash), Tuple{Nothing, UInt64}, UInt64}"
95673	"Tuple{typeof(Base.hashindex), Tuple{Int64, Nothing, UInt64}, Int64}"
702279	"Tuple{typeof(Base.hash), Tuple{Int64, Int32, UInt64}, UInt64}"
35001	"Tuple{typeof(Base.hashindex), Tuple{Int64, Int32, UInt64}, Int64}"
336537	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
144679	"Tuple{typeof(Base.Docs.argtype), Any}"
